ticker,signal_time,watchlist_source,signal_score,confidence_score,effective_score,conviction_score,conviction_band,normalized_allocation,price_at_signal,prediction_intent,data_mode,degraded_mode,regime_label,regime_confidence,regime_data_quality,theme_alignment_score,theme_top_name,theme_type,portfolio_fit_score,portfolio_fit_label,final_rank_score,augmented_signal_score,outcome_return_1d,outcome_success_1d,direction_correct_1d,outcome_price_1d,evaluated_at_1d,outcome_return_3d,outcome_success_3d,direction_correct_3d,outcome_price_3d,evaluated_at_3d,outcome_return_7d,outcome_success_7d,direction_correct_7d,outcome_price_7d,evaluated_at_7d
XLE,2026-05-28T09:01:19.587541,static,0.1472,0.92,0.135,,,,56.99,up,live,0,neutral,0.0,limited,0.0,,,0.7352,good,0.4359,0.1472,,,,,,,,,,,,,,,
XLF,2026-05-28T09:01:19.587541,static,0.1581,0.92,0.145,,,,51.42,up,live,0,neutral,0.0,limited,0.0,,,0.7365,good,0.4405,0.1581,,,,,,,,,,,,,,,
MARA,2026-05-28T09:01:19.587541,static,0.1742,0.92,0.16,,,,14.33,up,live,0,neutral,0.0,limited,0.0,,,0.7452,good,0.4487,0.1742,,,,,,,,,,,,,,,
CHAT,2026-05-28T09:01:19.587541,static,0.1801,0.92,0.166,,,,93.8,up,live,0,neutral,0.0,limited,0.0,,,0.7476,good,0.4516,0.1801,,,,,,,,,,,,,,,
IWM,2026-05-28T09:01:19.587541,static,0.1964,0.92,0.181,,,,290.37,up,live,0,neutral,0.0,limited,0.0,,,0.7385,good,0.4563,0.1964,,,,,,,,,,,,,,,
SPY,2026-05-28T09:01:19.587541,static,0.206,0.92,0.19,,,,750.46,up,live,0,neutral,0.0,limited,0.0,,,0.7439,good,0.4612,0.206,,,,,,,,,,,,,,,
QQQ,2026-05-28T09:01:19.587541,static,0.2086,0.92,0.192,,,,729.45,up,live,0,neutral,0.0,limited,0.0,,,0.745,good,0.4624,0.2086,,,,,,,,,,,,,,,
XLK,2026-05-28T09:01:19.587541,static,0.2093,0.92,0.193,,,,184.43,up,live,0,neutral,0.0,limited,0.0,,,0.7459,good,0.4629,0.2093,,,,,,,,,,,,,,,
TSLA,2026-05-28T09:01:19.587541,static,0.2499,0.92,0.23,,,,440.36,up,live,0,neutral,0.0,limited,0.0,,,0.7376,good,0.4775,0.2499,,,,,,,,,,,,,,,
AMZN,2026-05-28T09:01:19.587541,static,0.271,0.92,0.249,,,,271.85,up,live,0,neutral,0.0,limited,0.0,,,0.7355,good,0.4855,0.271,,,,,,,,,,,,,,,
PLTR,2026-05-28T09:01:19.587541,static,0.2712,0.92,0.25,,,,132.51,up,live,0,neutral,0.0,limited,0.0,,,0.7372,good,0.4859,0.2712,,,,,,,,,,,,,,,
MSFT,2026-05-28T09:01:19.587541,static,0.2797,0.92,0.257,,,,412.67,up,live,0,neutral,0.0,limited,0.0,,,0.7392,good,0.4897,0.2797,,,,,,,,,,,,,,,
GOOGL,2026-05-28T09:01:19.587541,static,0.2826,0.92,0.26,,,,388.83,up,live,0,neutral,0.0,limited,0.0,,,0.7406,good,0.4912,0.2826,,,,,,,,,,,,,,,
AVGO,2026-05-28T09:01:19.587541,static,0.2904,0.92,0.267,,,,421.86,up,live,0,neutral,0.0,limited,0.0,,,0.7419,good,0.4945,0.2904,,,,,,,,,,,,,,,
NVDA,2026-05-28T09:01:19.587541,static,0.2965,0.92,0.273,,,,212.6,up,live,0,neutral,0.0,limited,0.0,,,0.7343,good,0.4955,0.2965,,,,,,,,,,,,,,,
SMCI,2026-05-28T09:01:19.587541,static,0.2984,0.92,0.275,,,,38.19,up,live,0,neutral,0.0,limited,0.0,,,0.7245,good,0.4943,0.2984,,,,,,,,,,,,,,,
AMD,2026-05-28T09:01:19.587541,static,0.3129,0.92,0.288,,,,495.54,up,live,0,neutral,0.0,limited,0.0,,,0.7518,strong,0.5055,0.3129,,,,,,,,,,,,,,,
COIN,2026-05-28T09:01:19.587541,static,0.206,0.92,0.19,,,,173.78,up,live,0,neutral,0.0,limited,0.0,,,0.7259,good,0.4576,0.206,,,,,,,,,,,,,,,
RIOT,2026-05-28T09:01:19.587541,static,0.2508,0.92,0.231,,,,26.94,up,live,0,neutral,0.0,limited,0.0,,,0.7412,good,0.4786,0.2508,,,,,,,,,,,,,,,
AAPL,2026-05-28T09:01:19.587541,static,0.646,1.0,0.646,,,,310.85,up,live,0,neutral,0.0,limited,0.0,,,0.7686,strong,0.6621,0.646,,,,,,,,,,,,,,,
NASA,2026-05-28T09:01:19.587541,static,0.2598,0.92,0.239,,,,41.89,up,live,0,neutral,0.0,limited,0.0,,,0.7531,strong,0.4845,0.2598,,,,,,,,,,,,,,,
META,2026-05-28T09:01:19.587541,static,0.356,0.92,0.328,,,,635.255,up,live,0,neutral,0.0,limited,0.0,,,0.7357,good,0.5195,0.356,,,,,,,,,,,,,,,
XLE,2026-05-27T09:03:00.761581,static,0.1779,0.92,0.164,,,,57.85,up,live,0,neutral,0.0,limited,0.0,,,0.7368,good,0.4485,0.1779,,,,,,,,,,,,,,,
XLF,2026-05-27T09:03:00.761581,static,0.1799,0.92,0.166,,,,51.85,up,live,0,neutral,0.0,limited,0.0,,,0.7369,good,0.4493,0.1799,,,,,,,,,,,,,,,
AMZN,2026-05-27T09:03:00.761581,static,0.1833,0.92,0.169,,,,265.29,up,live,0,neutral,0.0,limited,0.0,,,0.736,good,0.4505,0.1833,,,,,,,,,,,,,,,
COIN,2026-05-27T09:03:00.761581,static,0.1878,0.92,0.173,,,,180.01,up,live,0,neutral,0.0,limited,0.0,,,0.7279,good,0.4507,0.1878,,,,,,,,,,,,,,,
META,2026-05-27T09:03:00.761581,static,0.1991,0.92,0.183,,,,612.34,up,live,0,neutral,0.0,limited,0.0,,,0.73,good,0.4556,0.1991,,,,,,,,,,,,,,,
PLTR,2026-05-27T09:03:00.761581,static,0.2045,0.92,0.188,,,,136.6,up,live,0,neutral,0.0,limited,0.0,,,0.7382,good,0.4594,0.2045,,,,,,,,,,,,,,,
SPY,2026-05-27T09:03:00.761581,static,0.2214,0.92,0.204,,,,750.59,up,live,0,neutral,0.0,limited,0.0,,,0.7381,good,0.4662,0.2214,,,,,,,,,,,,,,,
IWM,2026-05-27T09:03:00.761581,static,0.2404,0.92,0.221,,,,290.51,up,live,0,neutral,0.0,limited,0.0,,,0.7363,good,0.4734,0.2404,,,,,,,,,,,,,,,
QQQ,2026-05-27T09:03:00.761581,static,0.2487,0.92,0.229,,,,730.28,up,live,0,neutral,0.0,limited,0.0,,,0.7376,good,0.477,0.2487,,,,,,,,,,,,,,,
TSLA,2026-05-27T09:03:00.761581,static,0.2551,0.92,0.235,,,,433.59,up,live,0,neutral,0.0,limited,0.0,,,0.7308,good,0.4782,0.2551,,,,,,,,,,,,,,,
XLK,2026-05-27T09:03:00.761581,static,0.2633,0.92,0.242,,,,185.14,up,live,0,neutral,0.0,limited,0.0,,,0.7379,good,0.4829,0.2633,,,,,,,,,,,,,,,
